video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0698,360,300,295.052,32.0,32.6997,46.4814,46.4229,36.137812499999995,30.5845,41.342,41.1676,33.252075,18.045565,5.96,2.46
test0698,540,600,618.488,29.0,35.3,48.9111,49.1139,38.728125,33.4707,43.0266,43.5414,35.924025,49.279197,14.33,5.55
test0698,540,900,911.948,26.0,35.462,49.5525,49.8174,39.0177375,33.7084,43.5662,44.2217,36.2547875,51.190279,17.02,5.8
test0698,540,1600,1492.492,23.0,35.5906,50.1313,50.5054,39.272537500000006,33.9037,44.1194,44.9834,36.565625000000004,52.688107,22.58,6.68
test0698,720,2400,2305.068,23.0,37.6074,52.1127,52.0782,41.229412499999995,35.9539,46.2293,46.2972,38.531237499999996,68.986028,40.02,11.98
test0698,720,3400,3309.654,21.0,37.6837,52.5555,52.5239,41.3977,36.0788,46.7497,46.8111,38.754200000000004,69.619433,43.88,13.35
test0698,1080,4500,4144.13,23.0,40.8471,54.0462,53.8899,44.127337499999996,39.075,47.9583,47.9042,41.2890625,82.472487,88.64,27.81
test0698,1080,5800,5912.344,21.0,40.9854,54.7365,54.5542,44.400387499999994,39.3006,48.7583,48.6744,41.6545375,83.073204,112.66,30.86
test0698,1440,8100,7701.998,21.0,43.5303,55.4059,55.1669,46.46932499999999,41.5368,48.737,48.6731,43.3288625,88.812686,182.6,51.03
test0698,2160,11600,12348.01,22.0,52.5043,57.3732,57.107,53.68825,47.4564,50.9128,50.7704,48.3027,96.083313,319.76,108.68
test0698,2160,16800,17025.222,20.0,53.7087,58.2951,58.0375,54.823100000000004,48.5883,51.915,51.7542,49.399874999999994,96.621193,381.5,116.95
test0699,360,145,152.692,46.0,30.4839,37.8513,34.2357,31.8738,26.8176,32.5914,29.1216,27.827325,5.049327,5.72,2.49
test0699,360,300,287.27,41.0,32.8123,40.0202,36.6275,34.1901875,29.7708,34.9549,31.7462,30.6657375,12.547005,6.74,2.64
test0699,540,600,627.83,38.0,35.9637,43.0783,40.1344,37.374362500000004,33.3156,38.3517,35.6183,34.23295,38.802098,14.13,5.6
test0699,540,900,866.172,35.0,37.3922,44.3698,41.5505,38.7841875,34.7627,39.664,37.0494,35.6612,47.144716,16.39,6.07
test0699,540,1600,1522.822,30.0,39.6035,46.4182,43.7305,40.9712125,36.9744,41.6465,39.2144,37.838412500000004,58.844266,21.49,7.1
test0699,720,2400,2345.16,29.0,41.9105,47.8822,45.4768,43.10275,39.0746,43.1749,40.9766,39.824887499999996,72.698491,34.72,12.25
test0699,720,3400,3491.07,26.0,43.3336,48.9877,46.7245,44.464225,40.4158,44.1969,42.148,41.1049625,78.140436,42.05,13.35
test0699,1080,4500,4274.262,28.0,44.627,49.584,47.4897,45.6044625,41.5214,44.75,42.861,42.092425,84.059565,81.69,28.39
test0699,1080,5800,5671.43,26.0,45.6994,50.2902,48.3394,46.603249999999996,42.4788,45.405,43.6544,42.991524999999996,87.251051,101.33,32.66
test0699,1440,8100,8346.784,25.0,46.8743,51.0971,49.2935,47.70455,43.4259,46.1156,44.4965,43.89593749999999,90.64567,173.95,51.79
test0699,2160,11600,11781.504,26.0,47.8527,51.8021,50.0823,48.625074999999995,44.3498,46.8002,45.2715,44.7713125,92.750283,427.9,123.03
test0699,2160,16800,16498.134,24.0,48.9753,52.63,51.0267,49.688562499999996,45.3184,47.6306,46.2071,45.7185125,94.909968,511.58,123.6
test0700,360,145,154.336,44.0,31.8968,40.2934,31.8079,32.9352625,27.187,34.3768,24.9032,27.800250000000002,0.479355,5.73,2.5
