video_name,resolution,target_bitrate,selected_bitrate,qp,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0762,2160,5800,5546.106,31,41.7818,47.8075,48.419,43.364662499999994,40.8873,46.5986,47.2683,42.3988375,84.175551,137.51,80.51
test0762,2160,8100,8332.08,28,43.4898,49.0422,49.6746,44.95695,42.4738,47.7558,48.4374,43.87949999999999,89.678859,174.73,96.06
test0762,2160,11600,11054.182,26,44.6319,49.7955,50.461,46.0059875,43.5112,48.4729,49.1859,44.84075,92.73815,200.1,101.23
test0762,2160,16800,17709.756,23,46.3714,51.139,51.808,47.646925,45.1103,49.7476,50.4584,46.358475,96.404165,246.08,111.57
test0763,2160,145,455.818,50,42.888,42.9102,46.1553,43.2991875,36.8151,36.6538,38.656,37.02505,65.190719,93.91,61.39
test0763,2160,300,455.818,50,42.888,42.9102,46.1553,43.2991875,36.8151,36.6538,38.656,37.02505,65.190719,93.91,61.39
test0763,2160,600,596.664,47,45.026,44.8941,48.1707,45.4026,39.0459,38.6418,41.1589,39.25951250000001,72.491795,103.32,66.06
test0763,2160,900,901.874,41,47.6215,47.2529,50.5379,47.939975,42.6108,41.7238,44.4908,42.734925,78.477662,105.2,61.67
test0763,2160,1600,1532.984,35,49.5855,50.0317,53.2137,50.094800000000006,45.1442,44.8486,47.5579,45.408962499999994,82.986177,116.78,63.71
test0763,2160,2400,2496.472,30,52.7154,52.4515,55.5453,53.036150000000006,48.1214,47.3095,49.9638,48.2502125,89.001732,133.8,67.42
test0763,2160,3400,3457.27,27,54.6498,54.093,57.0952,54.885875,49.9441,49.0188,51.5627,50.0307625,91.590937,146.16,67.07
test0763,2160,4500,4409.504,25,56.0098,55.2943,58.1807,56.191725000000005,51.2705,50.2378,52.6598,51.315075,92.974209,160.16,68.89
test0763,2160,5800,5650.936,23,57.4091,56.5495,59.366,57.546262500000005,52.5979,51.5147,53.866,52.6210125,94.02718,179.36,68.32
test0763,2160,8100,8042.762,20,59.3971,58.3123,61.0133,59.463525000000004,54.597,53.3126,55.5668,54.557674999999996,95.119745,196.05,70.32
test0763,2160,11600,11746.488,17,61.4695,60.4282,62.9642,61.526175,56.6932,55.4983,57.6177,56.659400000000005,95.850672,226.38,75.57
test0763,2160,16800,16131.62,14,63.3805,62.3357,64.7158,63.4168125,58.6578,57.4818,59.5033,58.616487500000005,96.301088,251.93,77.78
test0764,2160,145,614.428,50,34.5165,40.208,39.7908,35.887225,31.5425,37.5707,36.9013,32.965875,64.365907,85.54,77.81
test0764,2160,300,614.428,50,34.5165,40.208,39.7908,35.887225,31.5425,37.5707,36.9013,32.965875,64.365907,85.54,77.81
test0764,2160,600,614.428,50,34.5165,40.208,39.7908,35.887225,31.5425,37.5707,36.9013,32.965875,64.365907,85.54,77.81
test0764,2160,900,855.126,47,36.1014,41.5891,41.2045,37.42525,33.1663,38.8754,38.2694,34.517825,71.432826,121.57,79.62
test0764,2160,1600,1654.758,41,39.0718,43.5965,43.2065,40.154225000000004,36.6594,41.2388,40.726,37.74015,81.923283,103.83,81.24
test0764,2160,2400,2498.322,37,40.4282,44.8029,44.403,41.4718875,38.4332,42.7203,42.2055,39.440625,85.349108,107.45,78.27
test0764,2160,3400,3536.274,34,41.8079,46.029,45.5901,42.8083125,39.7399,43.8397,43.2958,40.696862499999995,88.204164,114.32,81.72
test0764,2160,4500,4545.05,32,42.7644,46.8423,46.3786,43.72591250000001,40.6285,44.5843,44.0244,41.5474625,89.904164,113.74,77.02
test0764,2160,5800,5887.178,30,43.7265,47.6207,47.1458,44.640687500000006,41.4971,45.2978,44.7462,42.378325000000004,91.391741,145.08,85.19
test0764,2160,8100,7972.46,28,44.7904,48.4813,48.0033,45.653375,42.4623,46.1387,45.5977,43.31377500000001,92.888798,158.85,89.43
test0764,2160,11600,12485.89,25,46.469,49.5805,49.1003,47.18685,43.96,47.1807,46.6926,44.704162499999995,94.818008,193.58,98.04
test0764,2160,16800,17597.144,23,47.6685,50.6099,50.1429,48.345475,45.0392,48.1428,47.6955,45.7591875,95.904935,226.44,107.01
test0765,2160,145,833.382,50,27.3556,41.3444,42.3001,30.9722625,28.0793,39.6578,40.2048,31.0423,17.338058,122.21,75.15
test0765,2160,300,833.382,50,27.3556,41.3444,42.3001,30.9722625,28.0793,39.6578,40.2048,31.0423,17.338058,122.21,75.15
test0765,2160,600,833.382,50,27.3556,41.3444,42.3001,30.9722625,28.0793,39.6578,40.2048,31.0423,17.338058,122.21,75.15
test0765,2160,900,833.382,50,27.3556,41.3444,42.3001,30.9722625,28.0793,39.6578,40.2048,31.0423,17.338058,122.21,75.15
test0765,2160,1600,1609.638,46,29.4025,42.9687,43.9771,32.9201,30.1538,41.3764,41.9339,33.0291375,30.777727,137.91,76.95
test0765,2160,2400,2530.61,43,31.1003,43.9316,44.9312,34.433075,31.8722,42.4052,43.0262,34.583075,41.978235,168.97,84.99
test0765,2160,3400,3263.38,41,32.0634,44.4008,45.4709,35.281512500000005,33.2603,43.233,43.8426,35.829675,48.098924,174.8,81.36
test0765,2160,4500,4573.698,38,33.2373,45.6237,46.9364,36.497987499999994,34.7901,44.7601,45.6078,37.388562500000006,55.561703,192.98,85.49
test0765,2160,5800,5903.432,36,34.4456,46.2795,47.5964,37.5686875,35.9797,45.4626,46.3559,38.4620875,62.384931,221.99,92.86
test0765,2160,8100,8516.104,33,36.2496,47.3874,48.6865,39.1964375,37.7307,46.6754,47.5707,40.0787875,71.648404,252.08,93.82
test0765,2160,11600,10873.136,31,37.484,48.2463,49.4837,40.32925,38.923,47.5607,48.4361,41.19185,77.239054,281.27,96.4
test0765,2160,16800,16076.324,28,39.5005,49.5252,50.6483,42.147062500000004,40.8505,48.9655,49.7793,42.980974999999994,85.038801,354.57,102.49
test0766,2160,145,540.156,50,25.203,38.7731,41.3942,28.923162499999997,29.1792,41.7909,43.3266,32.5240875,22.794892,89.83,78.88
test0766,2160,300,540.156,50,25.203,38.7731,41.3942,28.923162499999997,29.1792,41.7909,43.3266,32.5240875,22.794892,89.83,78.88
test0766,2160,600,653.946,49,25.6913,39.1541,41.864,29.3957375,29.6884,42.1345,43.7119,32.9971,27.800882,91.67,78.79
test0766,2160,900,935.614,47,26.7248,40.1237,42.773,30.405687499999996,30.6443,42.9975,44.5367,33.925000000000004,37.307258,104.6,82.32
test0766,2160,1600,1561.914,44,28.509,41.6151,44.1349,32.100500000000004,32.4023,44.2718,45.7235,35.551137499999996,52.289005,93.34,71.22
test0766,2160,2400,2392.556,41,30.1263,42.4592,44.9203,33.5171625,34.5607,45.3131,46.7179,37.4244,64.180519,104.63,80.3
test0766,2160,3400,3326.868,38,31.331,43.8265,46.102,34.7393125,35.9698,46.6495,47.921,38.7986625,71.489096,109.67,82.67
test0766,2160,4500,4276.156,36,32.4875,44.9104,47.0131,35.8560625,37.0693,47.5387,48.6698,39.8280375,77.435838,112.49,83.11
test0766,2160,5800,6076.724,33,34.118,46.0095,47.9718,37.3361625,38.6021,48.4777,49.5451,41.20442499999999,84.41355,123.12,85.25
test0766,2160,8100,7698.256,31,35.1763,46.9928,48.8065,38.35713749999999,39.5902,49.2673,50.2486,42.1321375,88.229261,146.8,88.74
test0766,2160,11600,11357.242,28,36.7658,48.4304,49.9469,39.871512499999994,41.0926,50.4158,51.2673,43.52983749999999,93.268167,166.88,95.46
test0766,2160,16800,16967.036,25,38.2758,49.7092,50.9723,41.2920375,42.5366,51.4824,52.2467,44.8685875,97.132797,202.57,101.82
test0767,2160,145,236.598,50,46.6234,47.927,47.1129,46.8475375,39.2036,38.9411,38.6742,39.1046125,73.485555,92.76,71.52
test0767,2160,300,302.73,47,48.2144,49.0897,48.2987,48.33434999999999,40.597,40.0604,39.7423,40.4230875,78.472717,90.32,70.18
test0767,2160,600,609.29,38,49.6116,51.8734,50.6517,50.0243375,43.1789,43.3994,42.7876,43.15755,80.310059,98.37,73.46
test0767,2160,900,848.842,35,50.9515,52.7875,51.6573,51.269225000000006,43.9948,44.1245,43.53,43.9529125,83.855865,105.12,75.69
test0767,2160,1600,1676.914,30,53.0193,54.2356,53.2354,53.198350000000005,45.2932,45.4042,44.8566,45.2525,88.426347,118.77,76.06
test0767,2160,2400,2384.628,28,53.8223,55.1031,54.1101,54.018375,45.8639,46.2981,45.7351,45.902074999999996,89.89214,133.44,79.1
