video_name,target_bitrate,resolution,selected_bitrate,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0001.csv,145,360,168.216,35.059,41.9075,37.4927,36.219274999999996,28.755,35.1558,31.1808,29.858325,16.770886,5.44,2.55
test0001.csv,300,360,333.372,36.5621,43.385,39.032,37.7237,30.7493,36.8982,33.0874,31.810175,18.24011,6.67,2.75
test0001.csv,600,360,652.49,38.2453,44.8169,40.5467,39.354425,32.6166,38.4612,34.741,33.612725,24.935231,8.48,3.06
test0001.csv,900,360,991.678,39.1633,45.6599,41.3625,40.250275,33.6807,39.4035,35.6579,34.6432,30.314527,11.28,3.41
test0001.csv,1600,540,1951.376,41.22,47.1002,43.5689,42.2486375,36.0498,40.8272,37.9055,36.8789375,51.411938,21.56,8.08
test0001.csv,2400,540,2971.346,42.0924,47.9227,44.5174,43.1243125,37.0604,41.6457,38.8899,37.86225,57.389396,33.87,8.78
test0001.csv,3400,1080,3918.964,44.0016,49.1738,46.2927,44.934512500000004,39.0315,42.8664,40.4499,39.6881625,72.971788,66.15,28.44
test0001.csv,4500,1080,5157.118,44.7719,49.8464,47.0495,45.6909125,39.8377,43.5255,41.2087,40.47005,76.642651,74.37,30.38
test0001.csv,5800,1080,6929.682,45.5521,50.5718,47.8585,46.4678625,40.6486,44.2008,41.9801,41.2590625,80.02688,86.49,32.83
test0001.csv,8100,1080,9358.7,46.2688,51.3561,48.6838,47.2065875,41.3906,44.9346,42.7659,42.005512499999995,82.784891,101.86,35.85
test0001.csv,11600,1080,12966.374,46.9856,52.2013,49.5718,47.9608375,42.1326,45.7167,43.6087,42.765125,85.1927,129.21,41.93
test0001.csv,16800,2160,20245.196,50.0738,53.2812,51.0392,50.5954,44.5324,46.7519,44.8864,44.8540875,92.456728,464.04,125.24
test0002.csv,145,360,179.334,22.5501,36.8123,38.4644,26.322162499999997,25.4534,36.4762,37.2945,28.3113875,0.0,6.43,1.95
test0002.csv,300,360,367.276,23.0868,38.7954,40.4747,27.223862500000003,26.3406,38.9806,39.8968,29.615125,0.0,6.63,2.08
test0002.csv,600,360,647.872,23.6524,40.0548,41.8173,27.9733125,26.985,40.3987,41.399,30.4634625,0.089565,7.21,2.27
test0002.csv,900,360,981.232,24.0618,40.9672,42.8281,28.5207625,27.4178,41.4308,42.4602,31.049725,0.308072,8.19,2.42
test0002.csv,1600,540,1788.382,25.4138,42.2055,43.4853,29.7717,28.8926,42.3954,43.1984,32.368675,12.652999,16.35,4.95
test0002.csv,2400,540,2850.684,26.1067,43.2849,44.5339,30.557375,29.5648,43.5789,44.3612,33.1661125,19.846309,23.53,6.43
test0002.csv,3400,1080,3779.68,28.0357,43.3732,44.1803,31.9709625,31.9249,44.0543,44.6101,35.026725,39.257943,40.38,19.7
test0002.csv,4500,1080,5013.022,28.9157,44.1745,44.8749,32.817949999999996,32.8244,44.8391,45.3128,35.8872875,45.563854,48.36,20.99
test0002.csv,5800,1080,6761.646,30.0329,44.8868,45.5091,33.8241625,33.8946,45.5368,45.9411,36.855687499999995,53.129685,47.69,19.57
test0002.csv,8100,1080,9051.964,31.1216,45.6467,46.1855,34.820225,34.9227,46.3199,46.6608,37.8146125,59.765841,59.62,23.56
test0002.csv,11600,1080,13650.68,32.7378,46.7608,47.2307,36.302287500000006,36.3763,47.3779,47.6654,39.162637499999995,68.544818,66.15,25.93
test0002.csv,16800,1440,19707.704,35.1606,47.749,48.0943,38.3508625,38.7496,48.1622,48.3653,41.1281375,78.069662,110.64,44.06
test0003.csv,145,360,165.46,21.6625,36.7831,40.0688,25.853362500000003,25.8262,39.6631,41.1505,29.471349999999997,0.0,6.07,2.23
test0003.csv,300,360,343.57,22.067,38.4509,42.0979,26.61885,26.3336,41.4945,43.4246,30.3650875,0.0,6.54,2.47
test0003.csv,600,360,721.6,22.3983,40.4139,44.0517,27.356924999999997,26.7427,43.3426,45.2125,31.1264125,0.0,10.31,3.03
test0003.csv,900,540,1023.148,23.4425,40.6008,44.0964,28.169024999999998,27.8472,43.6553,45.4838,32.0277875,5.868707,12.91,5.78
