video_name,target_bitrate,resolution,selected_bitrate,PSNRY,PSNRU,PSNRV,PSNR,XPSNRY,XPSNRU,XPSNRV,XPSNR,VMAF,enc_time,dec_time
test0367.csv,1600,720,1755.068,28.5441,47.0235,47.2654,33.1941875,33.2647,45.6924,46.4272,36.463474999999995,36.232775,26.28,10.85
test0367.csv,2400,720,2532.834,29.1785,47.6629,47.8397,33.8217,33.8801,46.3674,47.0762,37.090525,41.321327,34.32,12.23
test0367.csv,3400,720,3648.742,29.8029,48.2988,48.4997,34.4519875,34.4778,47.0553,47.7876,37.7137125,46.862114,34.68,12.83
test0367.csv,4500,1080,5143.004,31.7717,48.716,48.9475,36.0367125,36.6429,47.9332,48.5892,39.547475,61.187061,103.27,27.55
test0367.csv,5800,1080,7184.856,32.6936,49.3931,49.5813,36.892,37.5466,48.9244,49.571,40.471875,67.139378,123.09,29.11
test0367.csv,8100,1080,10048.116,33.6,49.9846,50.1866,37.7214,38.4336,49.8583,50.4917,41.36895,72.884482,149.29,33.3
test0367.csv,11600,1080,13985.698,34.4093,50.7214,50.9198,38.512125000000005,39.2468,50.8034,51.4401,42.2155375,77.925204,174.98,34.92
test0367.csv,16800,1080,19042.14,35.164,51.271,51.4612,39.214525,39.9991,51.5462,52.1549,42.9619625,82.581675,209.04,39.77
test0368.csv,145,360,157.692,27.2703,37.4813,40.804,30.2383875,26.9762,35.5906,38.8439,29.536462499999995,0.968798,4.76,2.38
test0368.csv,300,360,357.016,28.8283,39.1643,42.1475,31.7852,28.8512,37.5861,40.1928,31.360762499999996,7.988915,6.18,2.55
test0368.csv,600,360,694.232,29.8962,40.8756,43.5184,32.9714,30.0561,39.3425,41.6176,32.6620875,16.439556,7.34,2.75
test0368.csv,900,540,1029.23,32.0315,41.8328,44.2048,34.778325,32.1605,40.4897,42.2841,34.4671,41.156594,12.46,5.74
test0368.csv,1600,720,1828.502,34.7,43.7011,45.8311,37.216525000000004,34.8293,42.3045,44.0144,36.9118375,62.808608,19.41,9.05
test0368.csv,2400,720,2847.672,35.8291,45.3439,47.1923,38.438849999999995,35.9706,43.6903,45.2174,38.0914125,69.804787,23.67,11.17
test0368.csv,3400,1080,3904.926,39.2125,46.7511,48.1538,41.2724875,39.0537,44.8465,46.0066,40.6469125,82.800664,43.97,24.16
test0368.csv,4500,1080,5349.274,40.3629,47.8058,49.0434,42.378325000000004,40.1473,45.7513,46.8258,41.682612500000005,86.036168,56.9,26.64
test0368.csv,5800,1080,6749.994,41.0288,48.6518,49.759,43.07295,40.7931,46.4647,47.498,42.3401625,87.781593,57.06,27.45
test0368.csv,8100,1080,9821.14,41.8855,49.8002,50.8325,43.9932125,41.6461,47.4296,48.4568,43.220375,89.867627,72.66,30.09
test0368.csv,11600,1440,13944.854,44.4802,50.8855,51.7158,46.1853125,43.8656,48.2497,49.1452,45.0735625,94.392489,124.26,53.48
test0368.csv,16800,1440,19807.652,45.3383,51.661,52.4747,47.020687499999994,44.6866,48.9728,49.8769,45.8711625,95.690056,153.45,62.67
test0369.csv,145,360,178.39,23.7873,39.9482,40.1725,27.855562499999998,28.3501,43.0114,42.7951,31.9883875,3.338416,5.99,2.48
test0369.csv,300,360,353.29,24.5619,41.8021,42.3003,28.934224999999998,29.332,45.0958,45.3389,33.303337500000005,7.948853,7.19,2.64
test0369.csv,600,360,686.13,25.0738,43.9202,44.477,29.854999999999997,29.9452,47.047,47.2948,34.251625,13.360051,8.59,3.02
test0369.csv,900,540,1091.42,26.9071,44.9743,45.6105,31.503425,31.7978,48.1445,48.2684,35.8999625,38.763759,14.48,6.0
test0369.csv,1600,1080,1985.43,30.8692,45.7934,46.4945,34.687887499999995,35.7734,49.1969,49.2293,39.133325000000006,71.381869,36.42,23.57
test0369.csv,2400,1080,2825.702,31.8086,47.1322,47.7615,35.7181625,36.7377,50.4006,50.3503,40.1471375,78.060698,42.87,24.06
test0369.csv,3400,1080,4126.112,32.637,48.432,48.9805,36.6543125,37.5871,51.5531,51.4795,41.0694,83.700078,49.21,25.58
test0369.csv,4500,1440,5319.796,35.4165,48.9897,49.4865,38.8719,40.1236,51.9433,51.8065,43.061425,92.658452,81.47,43.8
test0369.csv,5800,1440,6845.846,36.0725,49.7484,50.1869,39.5462875,40.7915,52.6128,52.4723,43.7292625,95.134888,89.55,46.17
test0369.csv,8100,1440,9400.92,36.8311,50.5637,50.9224,40.3090875,41.5531,53.3551,53.1917,44.483175,97.734797,100.07,49.89
test0369.csv,11600,1440,14356.562,37.6588,51.4308,51.725,41.138575,42.4142,54.193,54.0292,45.338425,99.427785,124.47,56.35
test0369.csv,16800,2160,18348.826,40.9652,51.8263,52.137,43.7193125,45.405,54.7385,54.6504,47.7273625,99.97748,246.26,112.37
test0371.csv,145,360,167.828,43.308,45.6015,42.1585,43.451,37.2737,38.8993,35.3855,37.240875,47.012018,6.9,2.04
test0371.csv,300,540,331.908,45.8384,48.3014,45.5023,46.1042625,39.8698,41.2517,38.5258,39.8745375,66.503616,11.87,4.19
test0371.csv,600,720,675.93,48.4929,50.3951,48.2462,48.6998375,42.3665,43.0139,40.9615,42.2718,78.742928,20.58,7.84
test0371.csv,900,720,968.008,49.0875,50.8515,48.9581,49.291824999999996,42.9629,43.537,41.6544,42.8711,80.178217,25.64,8.8
test0371.csv,1600,1080,1857.344,51.8599,53.112,51.6577,51.9911375,45.4974,45.5404,44.1199,45.33058749999999,87.772589,49.88,21.38
test0371.csv,2400,1080,2743.728,52.722,53.9623,52.6718,52.870762500000005,46.3915,46.4976,45.1601,46.2508375,88.910432,59.19,21.57
test0371.csv,3400,1080,3884.946,53.5211,54.8463,53.7113,53.710525,47.2534,47.5002,46.235,47.15695,89.836628,69.7,23.15
